OptionEpic,UnderlyingEpic,Strike,Expiry,CallOrPut,DividendYield,RiskFreeRate
OP.D.FTSE2.5750C.IP,IX.D.FTSE.MONTH3.IP,5750.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5750P.IP,IX.D.FTSE.MONTH3.IP,5750.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5775C.IP,IX.D.FTSE.MONTH3.IP,5775.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5775P.IP,IX.D.FTSE.MONTH3.IP,5775.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5800C.IP,IX.D.FTSE.MONTH3.IP,5800.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5800P.IP,IX.D.FTSE.MONTH3.IP,5800.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5825C.IP,IX.D.FTSE.MONTH3.IP,5825.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5825P.IP,IX.D.FTSE.MONTH3.IP,5825.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5850C.IP,IX.D.FTSE.MONTH3.IP,5850.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5850P.IP,IX.D.FTSE.MONTH3.IP,5850.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5875C.IP,IX.D.FTSE.MONTH3.IP,5875.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5875P.IP,IX.D.FTSE.MONTH3.IP,5875.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5900C.IP,IX.D.FTSE.MONTH3.IP,5900.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5900P.IP,IX.D.FTSE.MONTH3.IP,5900.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5925C.IP,IX.D.FTSE.MONTH3.IP,5925.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5925P.IP,IX.D.FTSE.MONTH3.IP,5925.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5950C.IP,IX.D.FTSE.MONTH3.IP,5950.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5950P.IP,IX.D.FTSE.MONTH3.IP,5950.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.5975C.IP,IX.D.FTSE.MONTH3.IP,5975.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.5975P.IP,IX.D.FTSE.MONTH3.IP,5975.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6000C.IP,IX.D.FTSE.MONTH3.IP,6000.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6000P.IP,IX.D.FTSE.MONTH3.IP,6000.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6025C.IP,IX.D.FTSE.MONTH3.IP,6025.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6025P.IP,IX.D.FTSE.MONTH3.IP,6025.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6050C.IP,IX.D.FTSE.MONTH3.IP,6050.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6050P.IP,IX.D.FTSE.MONTH3.IP,6050.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6075C.IP,IX.D.FTSE.MONTH3.IP,6075.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6075P.IP,IX.D.FTSE.MONTH3.IP,6075.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6100C.IP,IX.D.FTSE.MONTH3.IP,6100.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6100P.IP,IX.D.FTSE.MONTH3.IP,6100.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6125C.IP,IX.D.FTSE.MONTH3.IP,6125.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6125P.IP,IX.D.FTSE.MONTH3.IP,6125.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6150C.IP,IX.D.FTSE.MONTH3.IP,6150.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6150P.IP,IX.D.FTSE.MONTH3.IP,6150.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6175C.IP,IX.D.FTSE.MONTH3.IP,6175.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6175P.IP,IX.D.FTSE.MONTH3.IP,6175.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6200C.IP,IX.D.FTSE.MONTH3.IP,6200.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6200P.IP,IX.D.FTSE.MONTH3.IP,6200.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6225C.IP,IX.D.FTSE.MONTH3.IP,6225.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6225P.IP,IX.D.FTSE.MONTH3.IP,6225.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6250C.IP,IX.D.FTSE.MONTH3.IP,6250.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6250P.IP,IX.D.FTSE.MONTH3.IP,6250.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6275C.IP,IX.D.FTSE.MONTH3.IP,6275.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6275P.IP,IX.D.FTSE.MONTH3.IP,6275.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6300C.IP,IX.D.FTSE.MONTH3.IP,6300.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6300P.IP,IX.D.FTSE.MONTH3.IP,6300.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6325C.IP,IX.D.FTSE.MONTH3.IP,6325.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6325P.IP,IX.D.FTSE.MONTH3.IP,6325.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6350C.IP,IX.D.FTSE.MONTH3.IP,6350.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6350P.IP,IX.D.FTSE.MONTH3.IP,6350.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6375C.IP,IX.D.FTSE.MONTH3.IP,6375.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6375P.IP,IX.D.FTSE.MONTH3.IP,6375.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6400C.IP,IX.D.FTSE.MONTH3.IP,6400.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6400P.IP,IX.D.FTSE.MONTH3.IP,6400.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6425C.IP,IX.D.FTSE.MONTH3.IP,6425.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6425P.IP,IX.D.FTSE.MONTH3.IP,6425.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6450C.IP,IX.D.FTSE.MONTH3.IP,6450.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6450P.IP,IX.D.FTSE.MONTH3.IP,6450.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6475C.IP,IX.D.FTSE.MONTH3.IP,6475.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6475P.IP,IX.D.FTSE.MONTH3.IP,6475.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6500C.IP,IX.D.FTSE.MONTH3.IP,6500.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6500P.IP,IX.D.FTSE.MONTH3.IP,6500.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6525C.IP,IX.D.FTSE.MONTH3.IP,6525.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6525P.IP,IX.D.FTSE.MONTH3.IP,6525.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6550C.IP,IX.D.FTSE.MONTH3.IP,6550.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6550P.IP,IX.D.FTSE.MONTH3.IP,6550.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6575C.IP,IX.D.FTSE.MONTH3.IP,6575.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6575P.IP,IX.D.FTSE.MONTH3.IP,6575.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6600C.IP,IX.D.FTSE.MONTH3.IP,6600.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6600P.IP,IX.D.FTSE.MONTH3.IP,6600.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6625C.IP,IX.D.FTSE.MONTH3.IP,6625.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6625P.IP,IX.D.FTSE.MONTH3.IP,6625.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6650C.IP,IX.D.FTSE.MONTH3.IP,6650.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6650P.IP,IX.D.FTSE.MONTH3.IP,6650.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6675C.IP,IX.D.FTSE.MONTH3.IP,6675.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6675P.IP,IX.D.FTSE.MONTH3.IP,6675.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6700C.IP,IX.D.FTSE.MONTH3.IP,6700.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6700P.IP,IX.D.FTSE.MONTH3.IP,6700.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6725C.IP,IX.D.FTSE.MONTH3.IP,6725.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6725P.IP,IX.D.FTSE.MONTH3.IP,6725.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6750C.IP,IX.D.FTSE.MONTH3.IP,6750.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6750P.IP,IX.D.FTSE.MONTH3.IP,6750.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6775C.IP,IX.D.FTSE.MONTH3.IP,6775.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6775P.IP,IX.D.FTSE.MONTH3.IP,6775.0,2017-09-15,PUT,0.0,0.331
OP.D.FTSE2.6800C.IP,IX.D.FTSE.MONTH3.IP,6800.0,2017-09-15,CALL,0.0,0.331
OP.D.FTSE2.6800P.IP,IX.D.FTSE.MONTH3.IP,6800.0,2017-09-15,PUT,0.0,0.331
